period,Battery,Biomass,Coal,Curtailment,Diesel,Gas,Geothermal,Hydro,Nuclear,Solar,Trans_loss,Wind,scs,fossil_twh,clean_twh,vre_twh,total_twh,Hydro_share,Gas_share,Solar_share,Wind_share,Clean_share,VRE_share,Fossil_share
2030,-1.12,69.99,10.46,40.94,0.0,166.56,0.35,633.44,32.83,32.86,-0.67,266.41,trd_cut90_ge25_fixed,177.02,1035.88,299.27,1212.9,0.52,0.14,0.03,0.22,0.85,0.25,0.15
2040,0.0,61.56,0.0,43.07,0.0,118.13,2.1,773.27,32.83,101.57,-0.68,524.48,trd_cut90_ge25_fixed,118.13,1495.81,626.05,1613.94,0.48,0.07,0.06,0.32,0.93,0.39,0.07
2050,-16.64,30.75,0.0,182.28,0.02,24.22,2.1,785.74,32.83,273.73,-0.9,1008.03,trd_cut90_ge25_fixed,24.24,2133.19,1281.76,2157.42,0.36,0.01,0.13,0.47,0.99,0.59,0.01
2020,0.0,84.76,11.78,51.26,14.58,160.7,0.35,542.72,32.83,14.16,-0.45,27.24,trd_cut90_ge15_fixed,187.06,702.06,41.4,889.11,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,-1.17,72.42,10.73,41.17,0.0,167.1,0.35,640.01,32.83,55.01,-0.71,234.52,trd_cut90_ge15_fixed,177.83,1035.14,289.53,1212.98,0.53,0.14,0.05,0.19,0.85,0.24,0.15
2040,0.0,59.15,0.0,43.67,0.0,118.65,2.1,772.44,32.83,157.42,-0.69,471.36,trd_cut90_ge15_fixed,118.65,1495.3,628.78,1613.95,0.48,0.07,0.1,0.29,0.93,0.39,0.07
2050,-24.87,48.78,0.0,175.42,0.02,24.22,2.1,793.43,46.18,298.15,-0.84,945.42,trd_cut90_ge15_fixed,24.24,2134.06,1243.57,2158.3,0.37,0.01,0.14,0.44,0.99,0.58,0.01
2020,0.0,84.76,11.78,51.29,14.58,160.7,0.35,542.11,32.83,14.39,-0.42,27.58,trd_cut90_gamesa2_fixed,187.06,702.02,41.97,889.08,0.61,0.18,0.02,0.03,0.79,0.05,0.21
2030,0.0,73.84,12.89,42.61,0.0,163.21,2.1,643.79,32.83,120.05,-0.62,163.73,trd_cut90_gamesa2_fixed,176.1,1036.34,283.78,1212.44,0.53,0.13,0.1,0.14,0.85,0.23,0.15
2040,-0.56,57.44,0.0,44.82,0.0,119.51,2.1,781.5,32.83,231.05,-0.58,389.49,trd_cut90_gamesa2_fixed,119.51,1494.4,620.53,1613.92,0.48,0.07,0.14,0.24,0.93,0.38,0.07
2050,-22.46,102.17,0.0,139.7,0.0,24.25,2.1,808.32,120.05,325.53,-0.7,774.12,trd_cut90_gamesa2_fixed,24.25,2132.28,1099.64,2156.53,0.37,0.01,0.15,0.36,0.99,0.51,0.01
2020,0.0,84.76,11.78,51.25,14.58,160.7,0.35,542.48,32.83,14.34,-0.46,27.3,trd_cut90_enercon7_fixed,187.06,702.07,41.65,889.12,0.61,0.18,0.02,0.03,0.79,0.05,0.21
