,type,period,load_zone,trade,Scenario,multiplier,trade_1
233,export,2040,Paraguay,0.00767,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00767
234,export,2040,Uruguay,0.17005,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.17005
235,export,2045,Argentina,1.30635,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.30635
236,export,2045,Brazil,2.0775,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-2.0775
237,export,2045,Chile,0.00278,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00278
238,export,2045,Paraguay,0.00549,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00549
239,export,2045,Uruguay,0.19414,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.19414
240,export,2050,Argentina,1.73417,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.73417
241,export,2050,Brazil,1.87931,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-1.87931
242,export,2050,Chile,0.00169,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00169
243,export,2050,Paraguay,0.00292,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.00292
244,export,2050,Uruguay,0.27707,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,-1,-0.27707
245,import,2020,Argentina,1.32284,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,1.32284
246,import,2020,Brazil,1.05898,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,1.05898
247,import,2020,Chile,0.00645,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.00645
248,import,2020,Paraguay,0.0,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.0
249,import,2020,Uruguay,0.31486,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.31486
250,import,2025,Argentina,0.78768,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.78768
251,import,2025,Brazil,0.46505,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.46505
252,import,2025,Chile,0.00365,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.00365
253,import,2025,Paraguay,0.0,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.0
254,import,2025,Uruguay,1.47758,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,1.47758
255,import,2030,Argentina,0.6749,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.6749
256,import,2030,Brazil,0.90687,Trade Emission cut 90% Siemens SWT 3.6 107 Single-Axis,1,0.90687
