period,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_siemens23_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,14.257864999999935,0.04,0.0,133.21,12.805,3.745,0.0,6.027,71.44353946279263,7.117,9.911999999999999,trd_siemens23_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,71.53135693091279,0.04,0.0,133.21,40.151,3.745,0.0,6.027,85.64835712814292,7.117,11.360544552697354,trd_siemens23_1axis
2050,4.074458018828953,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,165.4799837622537,0.04,0.0,133.136,53.59,3.745,0.0,0.0,145.7632869255573,0.0,57.92846575133751,trd_siemens23_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_ge25_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,12.319090733254821,0.04,0.0,133.21,13.706,3.745,0.0,6.027,57.75696322143851,7.117,18.214194133960905,trd_ge25_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,66.98142556886127,0.04,0.0,133.21,43.198,3.745,0.0,6.027,72.43877644375557,7.117,23.3839954491095,trd_ge25_1axis
2050,3.5932456349233095,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,163.40030632694217,0.04,0.0,133.136,53.32,3.745,0.0,0.0,137.88442191562223,0.0,80.57558430507498,trd_ge25_1axis
2020,0.0,14.991100000000001,0.0,14.609,0.0,7.472999999999999,0.0,42.821,0.0,0.04,0.0,133.21,0.0,3.745,0.0,6.027,0.0,7.117,0.0,trd_ge15_1axis
2030,0.5082599999999998,14.2657,0.0,14.609,0.0,7.472999999999999,0.0,42.3913,13.67086499999994,0.04,0.0,133.21,12.96,3.745,0.0,6.027,66.73459710122809,7.117,13.368,trd_ge15_1axis
2040,0.0,13.7462,0.0,13.180399999999999,0.0,7.472999999999999,0.0,42.2896,70.64962465976835,0.04,0.0,133.21,40.595,3.745,0.0,6.027,84.12518130200203,7.117,14.86240272185286,trd_ge15_1axis
2050,3.955161981082301,12.7672,0.0,10.490200000000002,0.0,7.472999999999999,0.125,40.3331,164.9769545730658,0.04,0.0,133.136,53.59,3.745,0.0,0.0,144.11062140652686,0.0,62.90706756681437,trd_ge15_1axis
