project,period,specified_capacity_mw,specified_capacity_mwh
E_Brazil_Gas_OCGT_80s,2040,15.5,
E_Argentina_Gas_OCGT_90s,2040,1757.3,
E_Brazil_Gas_OCGT_90s,2040,110.0,
E_Argentina_Gas_OCGT_00s,2040,931.8,
E_Brazil_Gas_OCGT_00s,2040,2643.6,
E_Argentina_Gas_OCGT_10s,2040,1561.8,
E_Brazil_Gas_OCGT_10s,2040,749.5,
E_Chile_Gas_OCGT_10s,2040,1507.7,
E_Uruguay_Gas_OCGT_10s,2040,265.7,
E_Argentina_Gas_CCGT_60s,2040,0,
E_Brazil_Gas_CCGT_60s,2040,0,
E_Argentina_Gas_CCGT_70s,2040,0,
E_Brazil_Gas_CCGT_70s,2040,0,
E_Argentina_Gas_CCGT_80s,2040,1152.1,
E_Brazil_Gas_CCGT_80s,2040,33.5,
E_Argentina_Gas_CCGT_90s,2040,2680.4,
E_Brazil_Gas_CCGT_90s,2040,238.5,
E_Argentina_Gas_CCGT_00s,2040,1421.2,
E_Brazil_Gas_CCGT_00s,2040,5730.2,
E_Argentina_Gas_CCGT_10s,2040,2382.1,
E_Brazil_Gas_CCGT_10s,2040,1624.7,
E_Chile_Gas_CCGT_10s,2040,1490.4,
E_Argentina_Biomass_2015_rest,2040,46.0,
E_Argentina_Gas_CCGT_2002_rest,2040,3389.7999999999997,
E_Argentina_Gas_OCGT_2002_rest,2040,2222.4,
E_Argentina_Nuclear_2015_rest,2040,1755.0,
E_Brazil_Biomass_2006_rest,2040,1224.5,
E_Brazil_Coal_Sub_1996_rest,2040,3063.2,
E_Brazil_Gas_CCGT_2005_rest,2040,3331.0,
E_Brazil_Gas_OCGT_2005_rest,2040,1536.8000000000002,
E_Brazil_Nuclear_2015_rest,2040,1990.0,
E_Chile_Biomass_2015_rest,2040,88.10000000000002,
E_Chile_Gas_CCGT_2015_rest,2040,1947.6,
E_Chile_Gas_OCGT_2015_rest,2040,1970.3,
E_Chile_Geothermal_2015_rest,2040,40.0,
E_Paraguay_Biomass_2015_rest,2040,22.0,
E_Paraguay_Diesel_2015_rest,2040,25.0,
E_Uruguay_Biomass_2015_rest,2040,12.300000000000011,
E_Uruguay_Gas_OCGT_2015_rest,2040,840.3,
E_Hydro_Argentina_Colorado,2040,74.0,
E_Hydro_Argentina_De_la_Plata,2040,1992.0,
E_Hydro_Argentina_Futaleufu,2040,472.0,
E_Hydro_Argentina_Negro,2040,4199.0,
E_Hydro_Argentina_Unknown,2040,328.0,
E_Hydro_Brazil_Amazonas,2040,8836.0,
E_Hydro_Brazil_De_la_Plata,2040,26062.0,
E_Hydro_Brazil_Doce,2040,131.0,
E_Hydro_Brazil_Jacui_Camaqua_Jaguaron,2040,662.0,
E_Hydro_Brazil_Paraiba_do_Sul,2040,408.0,
E_Hydro_Brazil_Paranaiba,2040,225.0,
E_Hydro_Brazil_Sao_Francisco,2040,6416.0,
E_Hydro_Brazil_Unknown,2040,15657.0,
E_Hydro_Chile_Maule_Itata,2040,400.0,
E_Hydro_Chile_Unknown,2040,377.0,
E_Hydro_Paraguay_De_la_Plata,2040,8810.0,
E_Hydro_Uruguay_De_la_Plata,2040,593.0,
E_Hydro_Argentina_wb_rest,2040,4245.0,
E_Hydro_Brazil_wb_rest,2040,46206.0,
E_Hydro_Chile_wb_rest,2040,6172.0,
E_Hydro_Uruguay_wb_rest,2040,945.0,
E_Argentina_SolarPV,2040,439.0,
E_Argentina_Wind,2040,1609.0,
E_Brazil_SolarPV,2040,2074.0,
E_Brazil_Wind,2040,1487.0,
E_Chile_SolarPV,2040,3258.0,
E_Chile_Wind,2040,2507.0,
E_Uruguay_SolarPV,2040,256.0,
E_Uruguay_Wind,2040,1514.0,
E_Argentina_Coal_Sub_60s,2045,0,
E_Brazil_Biomass_60s,2045,0,
E_Brazil_Coal_Sub_60s,2045,0,
E_Argentina_Coal_Sub_70s,2045,0,
E_Brazil_Biomass_70s,2045,0,
E_Brazil_Coal_Sub_70s,2045,0,
E_Argentina_Coal_Sub_80s,2045,1982.2,
