Latitude,Longitude,project,load_zone,biome
-40.75,-65.75,p_solar_Argentina_AR565,Argentina,Monte Desert
-41.25,-65.75,p_solar_Argentina_AR566,Argentina,Monte Desert
-41.75,-65.75,p_solar_Argentina_AR567,Argentina,Monte Desert
-42.25,-65.75,p_solar_Argentina_AR568,Argentina,Monte Desert
-42.75,-65.75,p_solar_Argentina_AR569,Argentina,Monte Desert
-43.25,-65.75,p_solar_Argentina_AR570,Argentina,Monte Desert
-43.75,-65.75,p_solar_Argentina_AR571,Argentina,Monte Desert
-44.25,-65.75,p_solar_Argentina_AR572,Argentina,Monte Desert
-44.75,-65.75,p_solar_Argentina_AR573,Argentina,Monte Desert
-47.25,-65.75,p_solar_Argentina_AR574,Argentina,Monte Desert
-22.25,-65.25,p_solar_Argentina_AR576,Argentina,Atacama/Andes
-22.75,-65.25,p_solar_Argentina_AR577,Argentina,Atacama/Andes
-23.25,-65.25,p_solar_Argentina_AR578,Argentina,Atacama/Andes
-23.75,-65.25,p_solar_Argentina_AR579,Argentina,Atacama/Andes
