type,period,load_zone,trade,Scenario,multiplier,trade_1
import,2030,Brazil,0.024,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.024
import,2030,Chile,9e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,9e-05
import,2030,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2030,Uruguay,0.02644,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.02644
import,2035,Argentina,0.01179,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.01179
import,2035,Brazil,0.03822,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03822
import,2035,Chile,0.00016,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00016
import,2035,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2035,Uruguay,0.05508,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.05508
import,2040,Argentina,0.01349,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.01349
import,2040,Brazil,0.02431,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.02431
import,2040,Chile,0.00013,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00013
import,2040,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2040,Uruguay,0.04223,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.04223
import,2045,Argentina,0.01471,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.01471
import,2045,Brazil,0.03488,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03488
import,2045,Chile,0.00017,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00017
import,2045,Paraguay,0.0,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0
import,2045,Uruguay,0.03806,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03806
import,2050,Argentina,0.0068,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0068
import,2050,Brazil,0.03857,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.03857
import,2050,Chile,0.00018,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.00018
import,2050,Paraguay,3e-05,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,3e-05
import,2050,Uruguay,0.0538,prm15_fix_wcost_re2_c2p1_co2_cut90p_tnt1,1,0.0538
export,2020,Argentina,0.04659,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.04659
export,2020,Brazil,0.00918,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00918
export,2020,Chile,4e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-4e-05
export,2020,Paraguay,0.00027,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00027
export,2020,Uruguay,0.02224,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.02224
export,2025,Argentina,0.05321,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.05321
export,2025,Brazil,0.03308,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.03308
export,2025,Chile,4e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-4e-05
export,2025,Paraguay,0.00027,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00027
export,2025,Uruguay,0.00433,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00433
export,2030,Argentina,0.05593,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.05593
export,2030,Brazil,0.04911,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.04911
export,2030,Chile,4e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-4e-05
export,2030,Paraguay,0.00028,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00028
export,2030,Uruguay,0.0061,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.0061
export,2035,Argentina,0.06926,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.06926
export,2035,Brazil,0.04806,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.04806
export,2035,Chile,0.0001,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.0001
export,2035,Paraguay,0.00028,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00028
export,2035,Uruguay,0.00149,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00149
export,2040,Argentina,0.07278,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.07278
export,2040,Brazil,0.07583,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.07583
export,2040,Chile,5e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-5e-05
export,2040,Paraguay,0.00028,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00028
export,2045,Argentina,0.07423,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.07423
export,2045,Brazil,0.09248,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.09248
export,2045,Chile,4e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-4e-05
export,2045,Paraguay,0.00018,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00018
export,2045,Uruguay,0.00142,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00142
export,2050,Argentina,0.07087,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.07087
export,2050,Brazil,0.08465,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.08465
export,2050,Chile,3e-05,prm15_fix_wcost_re2_c2p1_tnt1,-1,-3e-05
export,2050,Paraguay,0.00016,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.00016
export,2050,Uruguay,0.01053,prm15_fix_wcost_re2_c2p1_tnt1,-1,-0.01053
