index,period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,sc_name
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,39.80014527638002,,,104.603,40.565,1.99,0.0,2.074,61.647390685154036,1.487,21.044993555025144,prm15_wcost_re6_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.701071387746303,0.04,0.0,6.949,0.575,,,3.258,2.7255861699362653,2.507,0.0,prm15_wcost_re6_c2p1_t1
23,2040,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re6_c2p1_t1
24,2040,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,2.052752827134089,1.514,1.7540018940843543,prm15_wcost_re6_c2p1_t1
30,2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,73.42432572159476,,,11.236,2.11,1.755,0.0,0.0,6.0130467615311805,0.0,3.258,prm15_wcost_re6_c2p1_t1
31,2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,51.46388837470959,,,104.603,50.635,1.99,0.0,0.0,118.1068,0.0,68.85,prm15_wcost_re6_c2p1_t1
32,2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,30.268802036922875,0.04,0.0,6.949,0.575,,,0.0,6.566879393697939,0.0,0.0,prm15_wcost_re6_c2p1_t1
33,2050,Paraguay,3.5406101451570122,0.022,0.0,,0.0,0.025,0.125,,2.7132901937149474,,,8.81,,,,,3.8416,,1.8093780187943678,prm15_wcost_re6_c2p1_t1
34,2050,Uruguay,0.052635489766297325,0.425,0.0,,0.0,0.084,0.0,1.106,5.53,,,1.538,,,,0.0,3.356095760393116,0.0,6.6582062862806195,prm15_wcost_re6_c2p1_t1
0,2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,,,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re7_c2p1_t1
1,2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,,,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re7_c2p1_t1
2,2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,,,3.258,0.0,2.507,0.0,prm15_wcost_re7_c2p1_t1
3,2020,Paraguay,0.0,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re7_c2p1_t1
4,2020,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.0,1.514,0.0,prm15_wcost_re7_c2p1_t1
10,2030,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.2543,0.5885613573611098,,,11.31,0.8,1.755,0.0,0.439,6.2128000000000005,1.609,0.0,prm15_wcost_re7_c2p1_t1
11,2030,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,11.200316299346586,,,104.603,11.585,1.99,0.0,2.074,57.192522671151536,1.487,13.368,prm15_wcost_re7_c2p1_t1
12,2030,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,1.881987343292244,0.04,0.0,6.949,0.575,,,3.258,2.739344140105497,2.507,0.0,prm15_wcost_re7_c2p1_t1
13,2030,Paraguay,0.5082599999999998,0.022,0.0,,0.0,0.025,0.0,,0.0,,,8.81,,,,,0.0,,0.0,prm15_wcost_re7_c2p1_t1
14,2030,Uruguay,0.0,0.425,0.0,,0.0,0.084,0.0,1.106,0.0,,,1.538,,,,0.256,0.5899302899710651,1.514,0.0,prm15_wcost_re7_c2p1_t1
20,2040,Argentina,0.0,0.046,0.0,2.9764,0.0,1.663,0.0,18.2543,17.59501305333334,,,11.31,1.615,1.755,0.0,0.439,6.2128000000000005,1.609,0.0,prm15_wcost_re7_c2p1_t1
21,2040,Brazil,0.0,12.7812,0.0,5.604,0.0,4.297,0.0,16.0133,43.711060223383186,,,104.603,38.405,1.99,0.0,2.074,72.7476,1.487,13.368,prm15_wcost_re7_c2p1_t1
22,2040,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,9.343551383051818,0.04,0.0,6.949,0.575,,,3.258,2.739344140105497,2.507,0.0,prm15_wcost_re7_c2p1_t1
