period,load_zone,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,capacity_cost_existing,tCO2_per_mwh,total_costs,costs_per_mwh,var_om_cost_per_mwh,fuel_cost_per_mwh,startup_cost_per_mwh,capacity_cost_per_mwh,tx_capacity_cost_per_mwh,capacity_cost_existing_per_mwh,scs,scs_id
2045,Chile,707746060.7528671,1927646141.5099425,0.0,2381249556.9632664,,156762419.25,48.156384249618796,3622406248.3741913,0.30719342352595647,5016641759.226076,32.00155868496573,4.514768680777852,12.296608783740384,0.0,15.190181220447492,,23.107618941484226,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2045,Paraguay,347204434.7814304,109353737.2443029,6692867.870883359,508980351.6637769,,73070680.0,1.427220257169984,1263512033.2065654,0.019532051120503928,972231391.5603936,13.305355739954706,4.751624520004883,1.496547414699068,0.09159443802744628,6.965589367223308,,17.291641917203528,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2045,Uruguay,39388945.256943725,68971998.7869927,1270612.692967034,850475515.886415,,32585578.3,0.18610869715075962,651561439.1714932,0.0057113823617719744,960107072.6233184,29.464171658519206,1.2087846007920542,2.11664185155777,0.038993099378783584,26.099752106790596,,19.99539284443183,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2050,Argentina,2003409227.241688,4747344461.424543,0.0,6404098418.819306,0.0,377725433.6,115.74864807873779,4017854941.1810117,0.30643593939536556,13154852107.485538,34.826492836635765,5.303876967319174,12.568241476828483,0.0,16.954374392488106,0.0,10.636972212561679,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2050,Brazil,5362350061.794226,13356719864.78799,0.0,34937109958.57014,0.0,1464977015.575,146.00682422092478,22036012277.233093,0.09966492488867988,53656179885.15235,36.62595338677885,3.6603646369765848,9.117357967248045,0.0,23.848230782554225,0.0,15.04188259812664,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2050,Chile,903703299.6118033,2709758991.4585066,0.0,4017678226.9895854,,178055542.975,67.28760552506563,2977171826.910461,0.3779023354218924,7631140518.059895,42.85820250555946,5.075401105253366,15.218616315915378,0.0,22.56418508439072,,16.720466979949467,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2050,Paraguay,374861760.2877597,266435275.2053522,240637.5,1625731001.4349356,,92727099.15,3.4690919161772427,1263512033.2065654,0.037411845598291235,2267268674.428047,24.450982455090067,4.042634394087585,2.8733269739664036,0.0025951151519442305,17.532425971884138,,13.626135668955254,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2050,Uruguay,35655905.40959342,41161005.75870393,1478677.883995468,1861351476.087107,,38851223.725,0.02979792869061252,422865598.6532496,0.0007669752927611939,1939647065.1393998,49.92499281023354,0.9177550149250393,1.0594519763406482,0.03806000795398287,47.90972581101387,,10.884228554714582,Trade Vestas V90 2000 Fixed,prm15_wcost_re11_c2p1_t1
2020,Argentina,949979473.4234715,1356392606.4192739,0.0,718415728.7671232,0.0,136540472.225,32.998281457558505,5290859683.229098,0.2416739954083494,3024787808.6098685,22.153049270442192,6.957493686253226,9.933996743354781,0.0,5.261558840834185,0.0,38.74938761388262,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2020,Brazil,3324865876.200045,6710007935.830004,0.0,2606094344.3630137,0.0,656823855.825,51.604894581043986,23336641594.56261,0.0785673268767407,12640968156.393063,19.245598411640277,5.0620358056634,10.215840786418962,0.0,3.9677218195579136,0.0,35.52952802734418,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2020,Chile,325939104.78579414,944114485.356739,0.0,752655864.8630137,,82922909.175,22.818675539520285,3622406248.3741913,0.2751793897071784,2022709455.005547,24.39264945151446,3.930627953463792,11.38544818011975,0.0,9.076573317930917,,43.68402271957786,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2020,Paraguay,327500129.60999984,0.0,0.0,3046485.205479452,,22203743.3,0.0,1263512033.2065654,0.0,330546614.8154793,14.886976954713724,14.749771026671878,0.0,0.0,0.13720592804184742,,56.9053612327866,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2020,Uruguay,35926529.37623148,46783991.23674463,542335.7073856201,154103578.15068492,,13524698.625,0.08360379962399993,651561439.1714932,0.006181564701889978,237356434.47104663,17.549850170583497,2.6563645055884915,3.4591522172823743,0.04009965193480384,11.394233795777827,,48.17567157963146,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2025,Argentina,1074387927.2651048,1828851403.722532,0.0,832001372.5413289,0.0,161775906.45,44.93382067289198,5270157715.967609,0.27775347799877514,3735240703.5289655,23.088980216491105,6.641210986489916,11.30484411340804,0.0,5.142925116593151,0.0,32.576901169127154,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2025,Brazil,3682199931.0932946,5004625637.39382,0.0,7913577499.804311,0.0,750779774.25,50.104579896897455,23126130036.50757,0.06673672042770465,16600403068.291424,22.110882095717862,4.904500703647312,6.6659036498329325,0.0,10.540477742237622,0.0,30.8028143933548,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2025,Chile,387053879.1446467,1180750763.7857716,0.0,859718953.0803146,,94186385.825,28.88027941796833,3622406248.3741913,0.30662902249618545,2427523596.0107327,25.77361446399605,4.109446134431782,12.53632097084209,0.0,9.127847358722182,,38.45997716808762,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2025,Paraguay,327500129.60999995,0.0,0.0,110678644.76154175,,28176675.1,0.0,1263512033.2065654,0.0,438178774.37154174,15.551117114295069,11.623093514323127,0.0,0.0,3.928023599971941,,44.84248154625474,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
2025,Uruguay,39981176.27408054,67608010.15142609,0.0,154103578.15068492,,16125299.375,0.1428875695134309,651561439.1714932,0.008861080107136361,261692764.57619154,16.22870735546834,2.4794067597942218,4.192666974992276,0.0,9.556633620681843,,40.40616077997579,Trade Vestas V164 7000 Fixed,prm15_wcost_re12_c2p1_t1
