,Latitude,Longitude,project,load_zone,biome
212,-39.25,-66.25,p_wind_Argentina_AR513,Argentina,Patagonia
213,-39.75,-66.25,p_wind_Argentina_AR514,Argentina,Patagonia
214,-40.25,-66.25,p_wind_Argentina_AR515,Argentina,Patagonia
215,-40.75,-66.25,p_wind_Argentina_AR516,Argentina,Patagonia
216,-41.25,-66.25,p_wind_Argentina_AR517,Argentina,Patagonia
217,-41.75,-66.25,p_wind_Argentina_AR518,Argentina,Patagonia
218,-42.25,-66.25,p_wind_Argentina_AR519,Argentina,Patagonia
219,-42.75,-66.25,p_wind_Argentina_AR520,Argentina,Patagonia
220,-43.25,-66.25,p_wind_Argentina_AR521,Argentina,Patagonia
221,-43.75,-66.25,p_wind_Argentina_AR522,Argentina,Patagonia
222,-44.25,-66.25,p_wind_Argentina_AR523,Argentina,Patagonia
223,-44.75,-66.25,p_wind_Argentina_AR524,Argentina,Patagonia
224,-47.25,-66.25,p_wind_Argentina_AR525,Argentina,Patagonia
225,-47.75,-66.25,p_wind_Argentina_AR526,Argentina,Patagonia
226,-54.75,-66.25,p_wind_Argentina_AR527,Argentina,Patagonia
227,-34.75,-65.75,p_wind_Argentina_AR553,Argentina,Pampas
228,-35.25,-65.75,p_wind_Argentina_AR554,Argentina,Pampas
229,-35.75,-65.75,p_wind_Argentina_AR555,Argentina,Pampas
230,-36.25,-65.75,p_wind_Argentina_AR556,Argentina,Pampas
231,-36.75,-65.75,p_wind_Argentina_AR557,Argentina,Pampas
232,-37.25,-65.75,p_wind_Argentina_AR558,Argentina,Pampas
233,-37.75,-65.75,p_wind_Argentina_AR559,Argentina,Patagonia
234,-38.25,-65.75,p_wind_Argentina_AR560,Argentina,Patagonia
235,-38.75,-65.75,p_wind_Argentina_AR561,Argentina,Patagonia
236,-39.25,-65.75,p_wind_Argentina_AR562,Argentina,Patagonia
237,-39.75,-65.75,p_wind_Argentina_AR563,Argentina,Patagonia
