lz_from,lz_to,period,net_flow_twh,scenario,policy,turbine,solar
Argentina,Brazil,2025,-0.0844668,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2030,0.0528984,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2035,-0.0191916,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2040,0.167927534,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2045,0.147069,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2050,0.255348451,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2025,0.001409661,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2030,0.002342258,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2035,0.002398336,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2040,0.003026273,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2045,0.003636224,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Chile,2050,0.004145246,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2025,-0.00784882,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2030,-0.00780174,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2035,-0.00780174,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2040,-0.00780174,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2045,-0.00447492,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Paraguay,2050,-0.00149991,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2020,-1.000947822,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2025,0.11832886,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2030,0.726790338,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2035,0.465921154,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2040,0.811828338,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2045,0.612327078,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Uruguay,2050,1.024375791,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2020,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2025,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2030,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2035,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2040,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2045,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Paraguay,2050,0,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2020,-0.058223865,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2025,1.313692929,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2030,1.797539585,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2035,1.891309552,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2040,1.139923913,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2045,0.797456887,trd_cut90_ge25_1axis,cut90,ge25,1axis
Brazil,Uruguay,2050,0.955414892,trd_cut90_ge25_1axis,cut90,ge25,1axis
Argentina,Brazil,2020,0.0558846,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2025,-0.0321354,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2030,-0.003402,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2035,0.0654075,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2040,0.1046043,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2045,0.1320318,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Brazil,2050,0.179757225,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2020,0.006447309,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2025,0.001231659,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2030,0.002158133,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2035,0.002543467,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2040,0.002654205,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2045,0.002588865,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Chile,2050,0.004719806,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2020,-0.008606582,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2025,-0.00784222,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2030,-0.00789018,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2035,-0.00781175,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2040,-0.00661168,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2045,-0.003106775,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Paraguay,2050,0.000549587,trd_cut90_ge15_1axis,cut90,ge15,1axis
Argentina,Uruguay,2020,-1.000046922,trd_cut90_ge15_1axis,cut90,ge15,1axis
