,scenario,technology,biome,new_build_mw,sc_group
283,prm15_wcost_re2_c2p1_t1,Wind,Gran Chaco,0.0,1.0
284,prm15_wcost_re2_c2p1_t1,Wind,Pampas,14490.093530784887,1.0
285,prm15_wcost_re2_c2p1_t1,Wind,Patagonia,0.0,1.0
286,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,62931.80836144523,3.0
287,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Caatinga,79211.6,3.0
288,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Cerrado,89273.34205745473,3.0
289,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,11576.01366333866,3.0
290,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,5193.2,3.0
291,prm15_wcost_re3_c2p1_co2_cut90p_t1,SolarPV,Pampas,5564.5801561258995,3.0
292,prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,Caatinga,119900.50501544285,3.0
293,prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,Coastal,654.0,3.0
294,prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3643.8689135955656,3.0
295,prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,Pampas,52514.0340709778,3.0
296,prm15_wcost_re3_c2p1_co2_cut90p_t1,Wind,Patagonia,67359.01633895609,3.0
297,prm15_wcost_re3_c2p1_t1,SolarPV,Atacama/Andes,16681.176903846474,1.0
298,prm15_wcost_re3_c2p1_t1,SolarPV,Caatinga,75315.8,1.0
299,prm15_wcost_re3_c2p1_t1,SolarPV,Cerrado,79869.30882745562,1.0
300,prm15_wcost_re3_c2p1_t1,SolarPV,Gran Chaco,6146.4953248761885,1.0
301,prm15_wcost_re3_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
302,prm15_wcost_re3_c2p1_t1,SolarPV,Pampas,6020.990888917156,1.0
303,prm15_wcost_re3_c2p1_t1,Wind,Caatinga,23871.0,1.0
304,prm15_wcost_re3_c2p1_t1,Wind,Coastal,0.0,1.0
305,prm15_wcost_re3_c2p1_t1,Wind,Gran Chaco,0.0,1.0
306,prm15_wcost_re3_c2p1_t1,Wind,Pampas,10919.921787464456,1.0
307,prm15_wcost_re3_c2p1_t1,Wind,Patagonia,0.0,1.0
308,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,58651.91304950465,3.0
309,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Caatinga,77076.86967380546,3.0
310,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Cerrado,87326.4094528616,3.0
311,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Gran Chaco,11129.809531608966,3.0
312,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Monte Desert,2511.557586983447,3.0
313,prm15_wcost_re4_c2p1_co2_cut90p_t1,SolarPV,Pampas,5037.551736029974,3.0
314,prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,Caatinga,142446.30551430755,3.0
315,prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,Coastal,1890.0,3.0
316,prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,Gran Chaco,3445.900749174372,3.0
317,prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,Pampas,60360.241386377405,3.0
318,prm15_wcost_re4_c2p1_co2_cut90p_t1,Wind,Patagonia,74310.94668577227,3.0
319,prm15_wcost_re4_c2p1_t1,SolarPV,Atacama/Andes,16795.59621737472,1.0
320,prm15_wcost_re4_c2p1_t1,SolarPV,Caatinga,72722.25894940697,1.0
321,prm15_wcost_re4_c2p1_t1,SolarPV,Cerrado,77981.6,1.0
322,prm15_wcost_re4_c2p1_t1,SolarPV,Gran Chaco,6146.4953248761885,1.0
323,prm15_wcost_re4_c2p1_t1,SolarPV,Monte Desert,0.0,1.0
324,prm15_wcost_re4_c2p1_t1,SolarPV,Pampas,5517.386027475342,1.0
325,prm15_wcost_re4_c2p1_t1,Wind,Caatinga,42781.09642138583,1.0
326,prm15_wcost_re4_c2p1_t1,Wind,Coastal,0.0,1.0
327,prm15_wcost_re4_c2p1_t1,Wind,Gran Chaco,0.0,1.0
328,prm15_wcost_re4_c2p1_t1,Wind,Pampas,13462.161585355636,1.0
329,prm15_wcost_re4_c2p1_t1,Wind,Patagonia,0.0,1.0
330,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Atacama/Andes,57400.50651058117,3.0
331,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Caatinga,72667.3,3.0
332,prm15_wcost_re5_c2p1_co2_cut90p_t1,SolarPV,Cerrado,85366.2120430441,3.0
