period,load_zone,Battery,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2025,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09067983234721488,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2025,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97687093940176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.272658949406974,0.0,-13.629021170674534,Trade Siemens SWT 3.6 107 Single-Axis
2025,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2025,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2025,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2030,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470053,0.0,-1.3577452087162036,Trade Siemens SWT 3.6 107 Single-Axis
2030,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.537566727862622,0.0,0.0,0.0,-0.7459999999999987,0.0,0.0,0.0,36.28909478941907,0.0,-22.743,Trade Siemens SWT 3.6 107 Single-Axis
2030,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.778973576773099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2030,Paraguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2030,Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
2035,Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1510623655308745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0443999978470053,0.0,-1.3577452087162036,Trade Siemens SWT 3.6 107 Single-Axis
2035,Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.133856232345053,0.0,0.0,0.0,-4.311999999999998,0.0,0.0,0.0,34.35312249050479,0.0,-25.371004845487246,Trade Siemens SWT 3.6 107 Single-Axis
2035,Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26716474192337625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4404472872825296,0.0,0.0,Trade Siemens SWT 3.6 107 Single-Axis
