,Latitude,Longitude,project,load_zone,biome
252,-44.25,-67.25,p_solar_Argentina_AR420,Argentina,Monte Desert
253,-44.75,-67.25,p_solar_Argentina_AR421,Argentina,Monte Desert
254,-45.25,-67.25,p_solar_Argentina_AR422,Argentina,Monte Desert
255,-46.75,-67.25,p_solar_Argentina_AR423,Argentina,Monte Desert
256,-47.25,-67.25,p_solar_Argentina_AR424,Argentina,Monte Desert
257,-22.75,-66.75,p_solar_Argentina_AR430,Argentina,Atacama/Andes
258,-23.25,-66.75,p_solar_Argentina_AR431,Argentina,Atacama/Andes
259,-23.75,-66.75,p_solar_Argentina_AR432,Argentina,Atacama/Andes
260,-24.75,-66.75,p_solar_Argentina_AR434,Argentina,Atacama/Andes
261,-25.25,-66.75,p_solar_Argentina_AR435,Argentina,Atacama/Andes
262,-25.75,-66.75,p_solar_Argentina_AR436,Argentina,Atacama/Andes
263,-26.25,-66.75,p_solar_Argentina_AR437,Argentina,Atacama/Andes
264,-26.75,-66.75,p_solar_Argentina_AR438,Argentina,Atacama/Andes
265,-27.25,-66.75,p_solar_Argentina_AR439,Argentina,Atacama/Andes
266,-27.75,-66.75,p_solar_Argentina_AR440,Argentina,Atacama/Andes
267,-31.25,-66.75,p_solar_Argentina_AR447,Argentina,Monte Desert
268,-31.75,-66.75,p_solar_Argentina_AR448,Argentina,Monte Desert
269,-32.25,-66.75,p_solar_Argentina_AR449,Argentina,Monte Desert
270,-32.75,-66.75,p_solar_Argentina_AR450,Argentina,Monte Desert
271,-33.25,-66.75,p_solar_Argentina_AR451,Argentina,Monte Desert
272,-33.75,-66.75,p_solar_Argentina_AR452,Argentina,Monte Desert
273,-34.25,-66.75,p_solar_Argentina_AR453,Argentina,Monte Desert
274,-34.75,-66.75,p_solar_Argentina_AR454,Argentina,Monte Desert
275,-35.25,-66.75,p_solar_Argentina_AR455,Argentina,Monte Desert
276,-35.75,-66.75,p_solar_Argentina_AR456,Argentina,Monte Desert
277,-36.25,-66.75,p_solar_Argentina_AR457,Argentina,Monte Desert
278,-36.75,-66.75,p_solar_Argentina_AR458,Argentina,Monte Desert
279,-37.25,-66.75,p_solar_Argentina_AR459,Argentina,Monte Desert
280,-37.75,-66.75,p_solar_Argentina_AR460,Argentina,Monte Desert
281,-38.25,-66.75,p_solar_Argentina_AR461,Argentina,Monte Desert
282,-38.75,-66.75,p_solar_Argentina_AR462,Argentina,Monte Desert
283,-39.25,-66.75,p_solar_Argentina_AR463,Argentina,Monte Desert
284,-39.75,-66.75,p_solar_Argentina_AR464,Argentina,Monte Desert
285,-40.25,-66.75,p_solar_Argentina_AR465,Argentina,Monte Desert
286,-40.75,-66.75,p_solar_Argentina_AR466,Argentina,Monte Desert
287,-41.25,-66.75,p_solar_Argentina_AR467,Argentina,Monte Desert
288,-41.75,-66.75,p_solar_Argentina_AR468,Argentina,Monte Desert
289,-42.25,-66.75,p_solar_Argentina_AR469,Argentina,Monte Desert
290,-42.75,-66.75,p_solar_Argentina_AR470,Argentina,Monte Desert
291,-43.25,-66.75,p_solar_Argentina_AR471,Argentina,Monte Desert
292,-43.75,-66.75,p_solar_Argentina_AR472,Argentina,Monte Desert
293,-44.25,-66.75,p_solar_Argentina_AR473,Argentina,Monte Desert
294,-44.75,-66.75,p_solar_Argentina_AR474,Argentina,Monte Desert
295,-47.25,-66.75,p_solar_Argentina_AR475,Argentina,Monte Desert
296,-47.75,-66.75,p_solar_Argentina_AR476,Argentina,Monte Desert
297,-22.25,-66.25,p_solar_Argentina_AR479,Argentina,Atacama/Andes
298,-22.75,-66.25,p_solar_Argentina_AR480,Argentina,Atacama/Andes
299,-23.25,-66.25,p_solar_Argentina_AR481,Argentina,Atacama/Andes
300,-23.75,-66.25,p_solar_Argentina_AR482,Argentina,Atacama/Andes
301,-24.25,-66.25,p_solar_Argentina_AR483,Argentina,Atacama/Andes
302,-24.75,-66.25,p_solar_Argentina_AR484,Argentina,Atacama/Andes
303,-25.25,-66.25,p_solar_Argentina_AR485,Argentina,Atacama/Andes
304,-25.75,-66.25,p_solar_Argentina_AR486,Argentina,Atacama/Andes
305,-26.25,-66.25,p_solar_Argentina_AR487,Argentina,Atacama/Andes
306,-26.75,-66.25,p_solar_Argentina_AR488,Argentina,Atacama/Andes
