period,load_zone,scs,scs_id,emis_policy,exist_trd,fixed_pv,capacity_cost,op_char,turbine,group
2020,Uruguay,Trade Emission cut 90% Enercon E101 3000 Single-Axis,prm15_wcost_re10_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,1460,1460,7.0
2020,Uruguay,Trade Emission cut 90% Enercon E126 7000 Fixed,prm15_wcost_re19_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2774,1314,8.0
2020,Uruguay,Trade Emission cut 90% Enercon E126 7000 Single-Axis,prm15_wcost_re9_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,1314,1314,7.0
2020,Uruguay,Trade Emission cut 90% GE 1.5sle Fixed,prm15_wcost_re17_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2482,1022,8.0
2020,Uruguay,Trade Emission cut 90% GE 1.5sle Single-Axis,prm15_wcost_re7_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,1022,1022,7.0
2020,Uruguay,Trade Emission cut 90% GE 2.5xl Fixed,prm15_wcost_re16_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2336,876,8.0
2020,Uruguay,Trade Emission cut 90% GE 2.5xl Single-Axis,prm15_wcost_re6_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,876,876,7.0
2020,Uruguay,Trade Emission cut 90% Gamesa G80 2000 Fixed,prm15_wcost_re18_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2628,1168,8.0
2020,Uruguay,Trade Emission cut 90% Gamesa G80 2000 Single-Axis,prm15_wcost_re8_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,1168,1168,7.0
2020,Uruguay,Trade Emission cut 90% Siemens SWT 2.3 93 Fixed,prm15_wcost_re15_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2190,730,8.0
2020,Uruguay,Trade Emission cut 90% Siemens SWT 2.3 93 Single-Axis,prm15_wcost_re5_c2p1_co2_cut90p_t1,True,True,False,154103578.15068492,730,730,7.0
2020,Uruguay,Trade Emission cut 90% Siemens SWT 3.6 107 Fixed,prm15_wcost_re14_c2p1_co2_cut90p_t1,True,True,True,154103578.15068492,2044,584,8.0
