scs_id,costs_per_mwh,MtCO2,op_char,scs_id_ref,costs_per_mwh_ref,MtCO2_ref,load_zone,Solar PV,cost_diff,emis_diff
prm15_wcost_re10_c2p1_co2_cut90p_t1,43.32494196345618,3.547762102708343,10,prm15_wcost_re10_c2p1_tn,41.78902422520176,103.86898476419788,Argentina,Single Axis,1.535917738254426,-100.32122266148953
prm15_wcost_re10_c2p1_co2_cut90p_t1,38.82111848394858,3.298427675178486,10,prm15_wcost_re10_c2p1_tn,34.819049613251345,93.080054758351,Brazil,Single Axis,4.0020688706972365,-89.78162708317251
prm15_wcost_re11_c2p1_co2_cut90p_t1,43.96035687767992,3.2856574756611368,11,prm15_wcost_re11_c2p1_tn,39.3938921083609,116.87821138685348,Argentina,Fixed,4.566464769319019,-113.59255391119234
prm15_wcost_re11_c2p1_co2_cut90p_t1,41.11062175205832,3.893596936556517,11,prm15_wcost_re11_c2p1_tn,36.408155989968485,146.29348081943465,Brazil,Fixed,4.702465762089837,-142.39988388287813
prm15_wcost_re11_c2p1_co2_cut90p_t1,72.27241562955756,2.5416545523705136,11,prm15_wcost_re11_c2p1_tn,35.81767714504822,67.27633403887555,Chile,Fixed,36.454738484509335,-64.73467948650503
prm15_wcost_re11_c2p1_co2_cut90p_t1,26.47717368955535,0.4630620354117864,11,prm15_wcost_re11_c2p1_tn,19.776261305622395,0.0,Paraguay,Fixed,6.700912383932955,0.4630620354117864
prm15_wcost_re11_c2p1_co2_cut90p_t1,53.62381834199501,0.0,11,prm15_wcost_re11_c2p1_tn,36.90719362162472,0.0183458453227846,Uruguay,Fixed,16.71662472037029,-0.0183458453227846
prm15_wcost_re12_c2p1_co2_cut90p_t1,28.278741266961685,0.4233000974387924,12,prm15_wcost_re12_c2p1_tn,16.703019074783334,0.0,Paraguay,Fixed,11.57572219217835,0.4233000974387924
prm15_wcost_re12_c2p1_co2_cut90p_t1,77.86406499292274,1.82828236879803,12,prm15_wcost_re12_c2p1_tn,36.094244979916986,67.27765184887268,Chile,Fixed,41.76982001300575,-65.44936948007465
prm15_wcost_re12_c2p1_co2_cut90p_t1,58.08754266968409,0.0,12,prm15_wcost_re12_c2p1_tn,26.97819254952701,0.0347029365130093,Uruguay,Fixed,31.10935012015708,-0.0347029365130093
prm15_wcost_re12_c2p1_co2_cut90p_t1,50.11179885344527,1.9780644441794908,12,prm15_wcost_re12_c2p1_tn,44.25257502757094,132.48913408112568,Argentina,Fixed,5.859223825874331,-130.5110696369462
prm15_wcost_re12_c2p1_co2_cut90p_t1,44.657222343737466,5.95432408958361,12,prm15_wcost_re12_c2p1_tn,37.09939834090439,165.87753675624776,Brazil,Fixed,7.5578240028330725,-159.92321266666414
prm15_wcost_re13_c2p1_co2_cut90p_t1,53.33266353341912,3.316640459693656,13,prm15_wcost_re13_c2p1_tn,42.33716344230415,150.15162067910916,Argentina,Fixed,10.99550009111497,-146.8349802194155
prm15_wcost_re13_c2p1_co2_cut90p_t1,49.238965855753776,4.561065247939378,13,prm15_wcost_re13_c2p1_tn,38.70610315605623,197.3367998436755,Brazil,Fixed,10.532862699697546,-192.7757345957361
prm15_wcost_re13_c2p1_co2_cut90p_t1,72.33014262582921,1.955851481623943,13,prm15_wcost_re13_c2p1_tn,35.9585120927165,67.27766236207204,Chile,Fixed,36.371630533112715,-65.3218108804481
prm15_wcost_re13_c2p1_co2_cut90p_t1,30.00302759968981,0.3504138107430232,13,prm15_wcost_re13_c2p1_tn,16.85453213704878,0.0,Paraguay,Fixed,13.14849546264103,0.3504138107430232
prm15_wcost_re13_c2p1_co2_cut90p_t1,63.16292991647526,0.0,13,prm15_wcost_re13_c2p1_tn,21.305655754647464,0.0322241440431407,Uruguay,Fixed,41.85727416182779,-0.0322241440431407
prm15_wcost_re14_c2p1_co2_cut90p_t1,50.36029811463652,2.029284069773494,14,prm15_wcost_re14_c2p1_tn,39.81323775167829,137.57506504300864,Argentina,Fixed,10.547060362958234,-135.54578097323514
prm15_wcost_re14_c2p1_co2_cut90p_t1,46.926762007516565,5.917183744139674,14,prm15_wcost_re14_c2p1_tn,38.31392231668169,168.31483149774584,Brazil,Fixed,8.612839690834875,-162.39764775360618
prm15_wcost_re14_c2p1_co2_cut90p_t1,72.1331172644795,1.8430287065053013,14,prm15_wcost_re14_c2p1_tn,36.69527072469756,67.27766236207604,Chile,Fixed,35.43784653978194,-65.43463365557074
prm15_wcost_re14_c2p1_co2_cut90p_t1,28.997369519215564,0.3944744795814661,14,prm15_wcost_re14_c2p1_tn,16.137333688077877,0.0,Paraguay,Fixed,12.860035831137687,0.3944744795814661
prm15_wcost_re14_c2p1_co2_cut90p_t1,46.27470478457158,0.0,14,prm15_wcost_re14_c2p1_tn,35.985746196741324,0.0337405839186439,Uruguay,Fixed,10.288958587830258,-0.0337405839186439
