type,period,load_zone,trade,Scenario,multiplier,trade_1
export,2040,Brazil,1.95793,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.95793
export,2040,Chile,0.0022,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.0022
export,2040,Paraguay,0.0078,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.0078
export,2040,Uruguay,0.23973,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.23973
export,2045,Argentina,2.10524,Trade Siemens SWT 3.6 107 Single-Axis,-1,-2.10524
export,2045,Brazil,1.59983,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.59983
export,2045,Chile,0.00153,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00153
export,2045,Paraguay,0.00421,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00421
export,2045,Uruguay,0.31855,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.31855
export,2050,Argentina,2.00572,Trade Siemens SWT 3.6 107 Single-Axis,-1,-2.00572
export,2050,Brazil,1.30654,Trade Siemens SWT 3.6 107 Single-Axis,-1,-1.30654
export,2050,Chile,0.00093,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.00093
export,2050,Paraguay,0.0013,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.0013
export,2050,Uruguay,0.44213,Trade Siemens SWT 3.6 107 Single-Axis,-1,-0.44213
import,2020,Argentina,0.55782,Trade Siemens SWT 3.6 107 Single-Axis,1,0.55782
import,2020,Brazil,1.5568,Trade Siemens SWT 3.6 107 Single-Axis,1,1.5568
import,2020,Chile,0.00594,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00594
import,2020,Paraguay,0.0,Trade Siemens SWT 3.6 107 Single-Axis,1,0.0
import,2020,Uruguay,0.28686,Trade Siemens SWT 3.6 107 Single-Axis,1,0.28686
import,2025,Argentina,0.74593,Trade Siemens SWT 3.6 107 Single-Axis,1,0.74593
import,2025,Brazil,0.74035,Trade Siemens SWT 3.6 107 Single-Axis,1,0.74035
import,2025,Chile,0.004,Trade Siemens SWT 3.6 107 Single-Axis,1,0.004
import,2025,Paraguay,0.0,Trade Siemens SWT 3.6 107 Single-Axis,1,0.0
import,2025,Uruguay,1.46423,Trade Siemens SWT 3.6 107 Single-Axis,1,1.46423
import,2030,Argentina,0.48554,Trade Siemens SWT 3.6 107 Single-Axis,1,0.48554
import,2030,Brazil,0.59022,Trade Siemens SWT 3.6 107 Single-Axis,1,0.59022
import,2030,Chile,0.00359,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00359
import,2030,Paraguay,0.0,Trade Siemens SWT 3.6 107 Single-Axis,1,0.0
import,2030,Uruguay,2.92496,Trade Siemens SWT 3.6 107 Single-Axis,1,2.92496
import,2035,Argentina,0.20777,Trade Siemens SWT 3.6 107 Single-Axis,1,0.20777
import,2035,Brazil,0.89174,Trade Siemens SWT 3.6 107 Single-Axis,1,0.89174
import,2035,Chile,0.00218,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00218
import,2035,Paraguay,0.0,Trade Siemens SWT 3.6 107 Single-Axis,1,0.0
import,2035,Uruguay,2.82804,Trade Siemens SWT 3.6 107 Single-Axis,1,2.82804
import,2040,Argentina,0.21113,Trade Siemens SWT 3.6 107 Single-Axis,1,0.21113
import,2040,Brazil,0.8319,Trade Siemens SWT 3.6 107 Single-Axis,1,0.8319
import,2040,Chile,0.00266,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00266
import,2040,Paraguay,0.0,Trade Siemens SWT 3.6 107 Single-Axis,1,0.0
import,2040,Uruguay,3.17401,Trade Siemens SWT 3.6 107 Single-Axis,1,3.17401
import,2045,Argentina,0.15015,Trade Siemens SWT 3.6 107 Single-Axis,1,0.15015
import,2045,Brazil,1.03863,Trade Siemens SWT 3.6 107 Single-Axis,1,1.03863
import,2045,Chile,0.00131,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00131
import,2045,Paraguay,0.00335,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00335
import,2045,Uruguay,2.83593,Trade Siemens SWT 3.6 107 Single-Axis,1,2.83593
import,2050,Argentina,0.1332,Trade Siemens SWT 3.6 107 Single-Axis,1,0.1332
import,2050,Brazil,1.2501,Trade Siemens SWT 3.6 107 Single-Axis,1,1.2501
import,2050,Chile,0.00226,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00226
import,2050,Paraguay,0.00573,Trade Siemens SWT 3.6 107 Single-Axis,1,0.00573
import,2050,Uruguay,2.36533,Trade Siemens SWT 3.6 107 Single-Axis,1,2.36533
export,2020,Argentina,1.43151,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.43151
export,2020,Brazil,0.23169,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.23169
export,2020,Chile,0.00105,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00105
export,2020,Paraguay,0.00825,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00825
export,2020,Uruguay,0.73492,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.73492
export,2025,Argentina,1.26449,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.26449
export,2025,Brazil,1.49957,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.49957
export,2025,Chile,0.00157,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00157
export,2025,Paraguay,0.00784,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00784
export,2025,Uruguay,0.20539,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.20539
export,2030,Argentina,1.59267,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.59267
export,2030,Brazil,2.33746,Trade Siemens SWT 2.3 93 Single-Axis,-1,-2.33746
export,2030,Chile,0.00141,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00141
export,2030,Paraguay,0.0078,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.0078
export,2030,Uruguay,0.02492,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.02492
export,2035,Argentina,2.12211,Trade Siemens SWT 2.3 93 Single-Axis,-1,-2.12211
export,2035,Brazil,1.64254,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.64254
export,2035,Chile,0.00292,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00292
export,2035,Paraguay,0.0078,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.0078
export,2035,Uruguay,0.10749,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.10749
export,2040,Argentina,2.07819,Trade Siemens SWT 2.3 93 Single-Axis,-1,-2.07819
export,2040,Brazil,1.48971,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.48971
export,2040,Chile,0.00229,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00229
export,2040,Paraguay,0.0078,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.0078
export,2040,Uruguay,0.25486,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.25486
export,2045,Argentina,2.05699,Trade Siemens SWT 2.3 93 Single-Axis,-1,-2.05699
export,2045,Brazil,1.31642,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.31642
export,2045,Chile,0.0015,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.0015
export,2045,Paraguay,0.00421,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.00421
export,2045,Uruguay,0.35618,Trade Siemens SWT 2.3 93 Single-Axis,-1,-0.35618
export,2050,Argentina,1.94229,Trade Siemens SWT 2.3 93 Single-Axis,-1,-1.94229
