period,load_zone,Battery_new,Biomass,Biomass_new,Coal,Coal_new,Diesel,Diesel_new,Gas,Gas_new,Geothermal,Geothermal_new,Hydro,Hydro_new,Nuclear,Nuclear_new,Solar,Solar_new,Wind,Wind_new,scs
2045,Paraguay,0.5343586994934404,0.022,0.0,0.0,0.0,0.025,0.11618105174065886,0.0,1.719991630151075,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.8617687435905915,0.0,0.0,prm15_wcost_re2_c2p1_t1
2045,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,5.53,0.0,0.0,1.538,0.0,0.0,0.0,0.256,2.899356299109784,1.514,2.955736399286988,prm15_wcost_re2_c2p1_t1
2050,Argentina,0.0,0.046,0.0,0.9942000000000001,0.0,1.663,0.0,16.346799999999998,61.894761914547196,0.0,0.0,11.236,2.11,1.755,0.0,0.0,7.012020883884406,0.0,0.0,prm15_wcost_re2_c2p1_t1
2050,Brazil,0.0,11.802200000000001,0.0,4.896,0.0,4.297,0.0,15.9643,60.47855513851096,0.0,0.0,104.603,50.905,1.99,0.0,0.0,126.35917232388906,0.0,50.64300000000001,prm15_wcost_re2_c2p1_t1
2050,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,34.58,0.04,0.0,6.949,0.575,0.0,0.0,0.0,6.566879393697942,0.0,0.0,prm15_wcost_re2_c2p1_t1
2050,Paraguay,4.017549092340297,0.022,0.0,0.0,0.0,0.025,0.125,0.0,2.9964665734546614,0.0,0.0,8.81,0.0,0.0,0.0,0.0,6.146495324876189,0.0,0.0,prm15_wcost_re2_c2p1_t1
2050,Uruguay,0.1457805897987,0.425,0.0,0.0,0.0,0.084,0.0,1.106,5.53,0.0,0.0,1.538,0.0,0.0,0.0,0.0,4.008701610159315,0.0,6.576093530784887,prm15_wcost_re2_c2p1_t1
2020,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.654,0.0,0.0,0.0,11.31,0.0,1.755,0.0,0.439,0.0,1.609,0.0,prm15_wcost_re3_c2p1_t1
2020,Brazil,0.0,14.0261,0.0,5.856,0.0,4.297,0.0,16.145,0.0,0.0,0.0,104.603,0.0,1.99,0.0,2.074,0.0,1.487,0.0,prm15_wcost_re3_c2p1_t1
2020,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.0,0.0,0.0,3.258,0.0,2.507,0.0,prm15_wcost_re3_c2p1_t1
2020,Paraguay,0.0,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re3_c2p1_t1
2020,Uruguay,0.0,0.425,0.0,0.0,0.0,0.084,0.0,1.106,0.0,0.0,0.0,1.538,0.0,0.0,0.0,0.256,0.0,1.514,0.0,prm15_wcost_re3_c2p1_t1
2025,Argentina,0.0,0.046,0.0,4.153,0.0,1.663,0.0,18.3778,0.0,0.0,0.0,11.31,0.8,1.755,0.0,0.439,0.6371,1.609,0.0,prm15_wcost_re3_c2p1_t1
2025,Brazil,0.0,13.3007,0.0,5.856,0.0,4.297,0.0,16.115,14.079515031075626,0.0,0.0,104.603,11.35,1.99,0.0,2.074,27.855708827455615,1.487,0.0,prm15_wcost_re3_c2p1_t1
2025,Chile,0.0,0.472,0.0,4.6,0.0,1.4040000000000001,0.0,6.916,0.0,0.04,0.0,6.949,0.275,0.0,0.0,3.258,2.342886904055438,2.507,0.0,prm15_wcost_re3_c2p1_t1
2025,Paraguay,0.5082599999999998,0.022,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,8.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prm15_wcost_re3_c2p1_t1
