scenario,technology,load_zone,new_build_mw,cap_mw,new_cap_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re18_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,18,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Brazil,105852.0,281991.0,105852.0,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re6_c2p1_t1,Wind,Uruguay,6658.20628628062,102552.0,6658.20628628062,0,1,6,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,Wind,Paraguay,0.0,80313.0,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Paraguay,1866.690411221058,80313.0,1866.690411221058,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re11_c2p1_t1,Wind,Uruguay,7191.057904188354,102552.0,7191.057904188354,0,1,11,1,"NoCut,Lim",011
prm15_wcost_re7_c2p1_t1,Wind,Paraguay,337.86308518802696,80313.0,337.86308518802696,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Brazil,55980.0,281991.0,55980.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,Wind,Argentina,0.0,631578.0,0.0,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Uruguay,3694.1420128289355,8111.2,3694.1420128289355,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Paraguay,5621.4,11360.1,5621.4,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re7_c2p1_t1,SolarPV,Chile,6566.879393697935,94117.1,6566.879393697935,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,Wind,Uruguay,7584.227203482047,102552.0,7584.227203482047,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re7_c2p1_t1,SolarPV,Brazil,122015.4,134739.3,122015.4,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,SolarPV,Argentina,1868.3083106052807,68590.4,1868.3083106052807,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re9_c2p1_t1,Wind,Uruguay,6273.338202561742,102552.0,6273.338202561742,0,1,9,0,"NoCut,Lim",010
prm15_wcost_re19_c2p1_t1,SolarPV,Brazil,109583.5,134739.3,109583.5,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Chile,0.0,94117.1,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Paraguay,2488.623316887591,11360.1,2488.623316887591,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,SolarPV,Uruguay,3853.095773447498,8111.2,3853.095773447498,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Argentina,1491.7352227069246,631578.0,1491.7352227069246,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Brazil,47649.0,281991.0,47649.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re19_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,19,1,"NoCut,Lim",011
prm15_wcost_re7_c2p1_t1,SolarPV,Argentina,6212.8,68590.4,6212.8,0,1,7,0,"NoCut,Lim",010
prm15_wcost_re10_c2p1_t1,Wind,Chile,0.0,25245.0,0.0,0,1,10,0,"NoCut,Lim",010
prm15_wcost_re1_c2p1_tn,Wind,Uruguay,6546.8508291999,102552.0,6546.8508291999,0,0,1,0,"NoCut,Full",000
prm15_wcost_re18_c2p1_tn,SolarPV,Chile,0.0,94117.1,0.0,0,0,18,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re19_c2p1_tn,SolarPV,Brazil,109583.4999999996,134739.3,109583.4999999996,0,0,19,1,"NoCut,Full",001
