Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_vestas_2,cf_vestas_7,cf_vestas_3,cf_siemens_36,cf_siemens_23,cf_GE_25,cf_GE_15,cf_gamesa_2,cf_enercon_7,cf_enercon_3,all_avg
-49.75,-69.75,p_wind_Argentina_AR169,Argentina,984,0.22,56.34792995,0.5938282103825137,0.5471411657559199,0.4949484289617487,0.5318727231329691,0.5547783469945355,0.5823216074681238,0.5578892304189436,0.5067962204007286,0.5069935109289618,0.6040315346083789,0.5480600979052823
-50.25,-69.75,p_wind_Argentina_AR170,Argentina,855,0.29,15.7027371,0.5986690573770495,0.5515264116575592,0.499086179417122,0.5362498861566486,0.5594681238615665,0.5869968123861566,0.5627621812386157,0.5112898451730419,0.5107101548269581,0.6083017987249545,0.5525060450819672
-50.75,-69.75,p_wind_Argentina_AR171,Argentina,561,0.39,23.02356282,0.6134306693989068,0.5665988160291439,0.5140541894353369,0.5514618624772315,0.5748869535519125,0.6018561020036429,0.5780867486338798,0.526610883424408,0.5250673952641166,0.6224393214936247,0.5674492941712204
-51.25,-69.75,p_wind_Argentina_AR172,Argentina,957,0.46,38.160873,0.604680441712203,0.5581684881602914,0.5066287568306012,0.5431630236794172,0.5660480418943534,0.5931604052823316,0.5693603142076503,0.5186716757741348,0.517916097449909,0.6139390938069217,0.5591736338797814
-51.75,-69.75,p_wind_Argentina_AR173,Argentina,1170,0.51,12.25350386,0.6001840846994546,0.5543032786885247,0.5037396402550092,0.5393900273224043,0.5615798041894354,0.5887925774134791,0.5648646402550092,0.5150802595628415,0.5154582194899818,0.6099059653916211,0.555329849726776
-39.75,-69.25,p_wind_Argentina_AR197,Argentina,354,0.06,10.25396003,0.4431746357012754,0.3967204007285974,0.3536219262295082,0.3856196493624773,0.4066549408014571,0.4310451958105647,0.4103243397085609,0.3658884335154826,0.3630384790528232,0.449764344262295,0.4005852345173041
-40.25,-69.25,p_wind_Argentina_AR198,Argentina,513,0.08,43.84787107,0.5009681238615648,0.4508662340619307,0.4022447632058288,0.4378481329690346,0.4613027094717669,0.4879246357012751,0.4655557832422586,0.4159540072859745,0.411973019125683,0.5076527777777778,0.4542290186703095
-40.75,-69.25,p_wind_Argentina_AR199,Argentina,738,0.09,88.49102894,0.5286288706739516,0.4778783014571949,0.4270882285974499,0.4638747723132969,0.4879780282331511,0.5155175318761384,0.4924151867030965,0.4410374544626593,0.4371306921675774,0.5358383424408014,0.4807387408925317
-41.25,-69.25,p_wind_Argentina_AR200,Argentina,732,0.08,133.401802,0.5167809653916243,0.4669467213114754,0.4177760701275046,0.453409266848816,0.4767556921675774,0.5038594034608379,0.4811092896174864,0.431218237704918,0.4277795992714026,0.5240183287795993,0.4699653574681242
-43.25,-69.25,p_wind_Argentina_AR204,Argentina,501,0.06,18.17050807,0.5656366120218552,0.5190642076502733,0.4699577641165756,0.5059963570127505,0.5290372267759563,0.553807946265938,0.5321811247723133,0.4834626593806921,0.4788713570127504,0.5723431238615664,0.5210358378870672
