type,load_zone,multiplier,period,trade,trade_1,scenario,full_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
import,Brazil,1,14245,199.31898,199.31898,prm15_wcost_re7_c2p1_tn,GE 1.5sle Single-Axis,ge15_1axis,0,0,7,0,"NoCut,Full",000
import,Brazil,1,14245,200.65553,200.65553,prm15_wcost_re18_c2p1_tn,Gamesa G80 2000 Fixed,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
import,Brazil,1,14245,202.52677,202.52677,prm15_wcost_re8_c2p1_tn,Gamesa G80 2000 Single-Axis,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
import,Brazil,1,14245,200.22745,200.22745,prm15_wcost_re15_c2p1_tn,Siemens SWT 2.3 93 Fixed,siemens23_fixed,0,0,15,1,"NoCut,Full",001
import,Brazil,1,14245,198.71151,198.71151,prm15_wcost_re5_c2p1_tn,Siemens SWT 2.3 93 Single-Axis,siemens23_1axis,0,0,5,0,"NoCut,Full",000
import,Brazil,1,14245,201.47109,201.47109,prm15_wcost_re14_c2p1_tn,Siemens SWT 3.6 107 Fixed,siemens36_fixed,0,0,14,1,"NoCut,Full",001
import,Brazil,1,14245,201.25372,201.25372,prm15_wcost_re4_c2p1_tn,Siemens SWT 3.6 107 Single-Axis,siemens36_1axis,0,0,4,0,"NoCut,Full",000
import,Paraguay,1,14245,6.4564900000000005,6.4564900000000005,prm15_wcost_re13_c2p1_tn,Vestas V90 3000 Fixed,vestas3_fixed,0,0,13,1,"NoCut,Full",001
import,Paraguay,1,14245,5.30414,5.30414,prm15_wcost_re1_c2p1_tn,Vestas V90 2000 Single-Axis,vestas2_1axis,0,0,1,0,"NoCut,Full",000
import,Paraguay,1,14245,3.46972,3.46972,prm15_wcost_re11_c2p1_tn,Vestas V90 2000 Fixed,vestas2_fixed,0,0,11,1,"NoCut,Full",001
import,Paraguay,1,14245,5.72498,5.72498,prm15_wcost_re2_c2p1_tn,Vestas V164 7000 Single-Axis,vestas7_1axis,0,0,2,0,"NoCut,Full",000
import,Brazil,1,14245,199.47871,199.47871,prm15_wcost_re6_c2p1_tn,GE 2.5xl Single-Axis,ge25_1axis,0,0,6,0,"NoCut,Full",000
import,Uruguay,1,14245,15.04308,15.04308,prm15_wcost_re10_c2p1_tn,Enercon E101 3000 Single-Axis,enercon3_1axis,0,0,10,0,"NoCut,Full",000
import,Brazil,1,14245,260.00008,260.00008,prm15_wcost_re11_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Fixed,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
import,Brazil,1,14245,278.61402,278.61402,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
import,Brazil,1,14245,286.94001000000003,286.94001000000003,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
import,Brazil,1,14245,282.18443,282.18443,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
import,Brazil,1,14245,295.59323,295.59323,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
import,Brazil,1,14245,267.80909,267.80909,prm15_wcost_re5_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
import,Brazil,1,14245,281.84979,281.84979,prm15_wcost_re15_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Fixed,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
import,Brazil,1,14245,290.23695,290.23695,prm15_wcost_re18_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Fixed,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
import,Brazil,1,14245,248.24202,248.24202,prm15_wcost_re6_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Single-Axis,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
import,Brazil,1,14245,267.92401,267.92401,prm15_wcost_re16_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Fixed,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
import,Brazil,1,14245,272.46287,272.46287,prm15_wcost_re17_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Fixed,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
import,Brazil,1,14245,295.76899000000003,295.76899000000003,prm15_wcost_re9_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Single-Axis,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
import,Brazil,1,14245,284.11446,284.11446,prm15_wcost_re19_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Fixed,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
import,Brazil,1,14245,235.91155,235.91155,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
import,Brazil,1,14245,251.07861,251.07861,prm15_wcost_re20_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Fixed,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
import,Brazil,1,14245,287.1153,287.1153,prm15_wcost_re8_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Single-Axis,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
import,Brazil,1,14245,254.71402,254.71402,prm15_wcost_re7_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Single-Axis,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
import,Paraguay,1,14245,1.06143,1.06143,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
import,Argentina,1,14245,34.9399,34.9399,prm15_wcost_re3_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 3000 Single-Axis,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
import,Argentina,1,14245,57.27964,57.27964,prm15_wcost_re10_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E101 3000 Single-Axis,cut90_enercon3_1axis,1,0,10,0,"90%Cut,Full",100
import,Argentina,1,14245,33.04835,33.04835,prm15_wcost_re19_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Fixed,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
import,Argentina,1,14245,35.267920000000004,35.267920000000004,prm15_wcost_re9_c2p1_co2_cut90p_tn,Emission cut 90% Enercon E126 7000 Single-Axis,cut90_enercon7_1axis,1,0,9,0,"90%Cut,Full",100
import,Argentina,1,14245,21.98386,21.98386,prm15_wcost_re17_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Fixed,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
import,Argentina,1,14245,49.338390000000004,49.338390000000004,prm15_wcost_re7_c2p1_co2_cut90p_tn,Emission cut 90% GE 1.5sle Single-Axis,cut90_ge15_1axis,1,0,7,0,"90%Cut,Full",100
import,Argentina,1,14245,22.139879999999998,22.139879999999998,prm15_wcost_re16_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Fixed,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
import,Argentina,1,14245,54.48313,54.48313,prm15_wcost_re6_c2p1_co2_cut90p_tn,Emission cut 90% GE 2.5xl Single-Axis,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
import,Argentina,1,14245,19.14706,19.14706,prm15_wcost_re18_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Fixed,cut90_gamesa2_fixed,1,0,18,1,"90%Cut,Full",101
import,Brazil,1,14245,235.94895,235.94895,prm15_wcost_re1_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Single-Axis,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
import,Argentina,1,14245,57.0192,57.0192,prm15_wcost_re8_c2p1_co2_cut90p_tn,Emission cut 90% Gamesa G80 2000 Single-Axis,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
import,Argentina,1,14245,55.66895,55.66895,prm15_wcost_re5_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 2.3 93 Single-Axis,cut90_siemens23_1axis,1,0,5,0,"90%Cut,Full",100
import,Argentina,1,14245,24.689890000000002,24.689890000000002,prm15_wcost_re14_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Fixed,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
import,Argentina,1,14245,59.760999999999996,59.760999999999996,prm15_wcost_re4_c2p1_co2_cut90p_tn,Emission cut 90% Siemens SWT 3.6 107 Single-Axis,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
import,Argentina,1,14245,23.989620000000002,23.989620000000002,prm15_wcost_re12_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Fixed,cut90_vestas7_fixed,1,0,12,1,"90%Cut,Full",101
import,Argentina,1,14245,59.91094,59.91094,prm15_wcost_re2_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V164 7000 Single-Axis,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
import,Argentina,1,14245,16.96018,16.96018,prm15_wcost_re11_c2p1_co2_cut90p_tn,Emission cut 90% Vestas V90 2000 Fixed,cut90_vestas2_fixed,1,0,11,1,"90%Cut,Full",101
