scs,transmission_line,period,new_build_transmission_capacity_mw,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re3_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,3,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,4,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,11,1,"NoCut,Full",001
prm15_wcost_re20_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,3.86302091542,1,0,20,1,"90%Cut,Full",101
prm15_wcost_re5_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,5,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,5.892560356797,1,0,6,0,"90%Cut,Full",100
prm15_wcost_re6_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,6,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,5.832961733648,1,0,11,1,"90%Cut,Full",101
prm15_wcost_re7_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,6.044816169370001,1,0,7,0,"90%Cut,Full",100
prm15_wcost_re7_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,7,0,"NoCut,Full",000
prm15_wcost_re8_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,10.83444040762,1,0,8,0,"90%Cut,Full",100
prm15_wcost_re10_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,10,0,"NoCut,Full",000
prm15_wcost_re8_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,8,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,10.2862183697,1,0,9,0,"90%Cut,Full",100
prm15_wcost_re9_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,9,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,7.244066644759999,1,0,5,0,"90%Cut,Full",100
prm15_wcost_re13_c2p1_co2_cut90p_tn,Argentina_Brazil_New,14245,9.98892011175,1,0,13,1,"90%Cut,Full",101
prm15_wcost_re12_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,12,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,1,0,"NoCut,Full",000
prm15_wcost_re15_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,15,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,Argentina_Brazil_New,14245,0.0,0,0,14,1,"NoCut,Full",001
