lz_from,lz_to,connection,period,net_flow_twh,sc_name,short_name,emis_policy,exist_trd,op_char,fixed_pv,pol,group
Argentina,Paraguay,Argentina-Paraguay,14245,2.778701246202264,prm15_wcost_re8_c2p1_co2_cut90p_tn,cut90_gamesa2_1axis,1,0,8,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.95604520716157,prm15_wcost_re6_c2p1_tn,ge25_1axis,0,0,6,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.913999263541588,prm15_wcost_re14_c2p1_co2_cut90p_tn,cut90_siemens36_fixed,1,0,14,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.801731017839478,prm15_wcost_re19_c2p1_tn,enercon7_fixed,0,0,19,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.8952048273773237,prm15_wcost_re2_c2p1_co2_cut90p_tn,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.783226477720866,prm15_wcost_re18_c2p1_tn,gamesa2_fixed,0,0,18,1,"NoCut,Full",001
Argentina,Paraguay,Argentina-Paraguay,14245,2.9321748386024797,prm15_wcost_re15_c2p1_co2_cut90p_tn,cut90_siemens23_fixed,1,0,15,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.9348658568437123,prm15_wcost_re8_c2p1_tn,gamesa2_1axis,0,0,8,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.914615439494292,prm15_wcost_re20_c2p1_co2_cut90p_tn,cut90_enercon3_fixed,1,0,20,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,229.75357221627402,prm15_wcost_re2_c2p1_co2_cut90p_tn,cut90_vestas7_1axis,1,0,2,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,225.942666564083,prm15_wcost_re4_c2p1_co2_cut90p_tn,cut90_siemens36_1axis,1,0,4,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.844658415820501,prm15_wcost_re1_c2p1_co2_cut90p_tn,cut90_vestas2_1axis,1,0,1,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.9280251689725914,prm15_wcost_re3_c2p1_tn,vestas3_1axis,0,0,3,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.9195306873785265,prm15_wcost_re5_c2p1_tn,siemens23_1axis,0,0,5,0,"NoCut,Full",000
Argentina,Paraguay,Argentina-Paraguay,14245,2.8470943034835967,prm15_wcost_re16_c2p1_co2_cut90p_tn,cut90_ge25_fixed,1,0,16,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.8661041354801338,prm15_wcost_re19_c2p1_co2_cut90p_tn,cut90_enercon7_fixed,1,0,19,1,"90%Cut,Full",101
Brazil,Paraguay,Brazil-Paraguay,14245,227.72473844376867,prm15_wcost_re3_c2p1_co2_cut90p_tn,cut90_vestas3_1axis,1,0,3,0,"90%Cut,Full",100
Brazil,Paraguay,Brazil-Paraguay,14245,210.1860512216349,prm15_wcost_re6_c2p1_co2_cut90p_tn,cut90_ge25_1axis,1,0,6,0,"90%Cut,Full",100
Argentina,Paraguay,Argentina-Paraguay,14245,2.8741190807207264,prm15_wcost_re17_c2p1_co2_cut90p_tn,cut90_ge15_fixed,1,0,17,1,"90%Cut,Full",101
Argentina,Paraguay,Argentina-Paraguay,14245,2.9422733751389187,prm15_wcost_re1_c2p1_tn,vestas2_1axis,0,0,1,0,"NoCut,Full",000
