Latitude,Longitude,project,load_zone,cap_mw,annual_cf,d_trans_km,cf_1axis,cf_fixed,all_avg
-46.25,-68.25,p_solar_Argentina_AR313,Argentina,136.4,0.18,6.399063933,0.241501935336976,0.1860181010928961,0.21376001821493607
-24.25,-67.75,p_solar_Argentina_AR324,Argentina,135.2,0.28,37.66481615,0.3883904826958178,0.2774093806921676,0.3328999316939927
-24.75,-67.75,p_solar_Argentina_AR325,Argentina,135.2,0.28,90.70572732,0.3895503187613919,0.2782111794171221,0.333880749089257
-25.25,-67.75,p_solar_Argentina_AR326,Argentina,135.0,0.28,145.0227868,0.3899066484517395,0.2795018214936248,0.33470423497268215
-25.75,-67.75,p_solar_Argentina_AR327,Argentina,135.0,0.28,146.7540936,0.3899992030965483,0.280140368852459,0.33506978597450365
-26.25,-67.75,p_solar_Argentina_AR328,Argentina,134.9,0.27,91.47124206,0.3886714480874403,0.2793682832422586,0.3340198656648494
-26.75,-67.75,p_solar_Argentina_AR329,Argentina,134.8,0.25,36.52292036,0.3828327641165829,0.2762133424408015,0.3295230532786922
-27.25,-67.75,p_solar_Argentina_AR330,Argentina,134.4,0.23,0.708018369,0.3660223132969074,0.2666811247723133,0.31635171903461035
-27.75,-67.75,p_solar_Argentina_AR331,Argentina,134.4,0.21,9.564213263,0.3403572404371593,0.2530194672131147,0.29668835382513703
-28.25,-67.75,p_solar_Argentina_AR332,Argentina,134.4,0.19,4.346301792,0.3239098360655746,0.2439330601092896,0.28392144808743214
-28.75,-67.75,p_solar_Argentina_AR333,Argentina,134.2,0.18,49.03093142,0.3232698087431696,0.2429711976320583,0.28312050318761395
-30.25,-67.75,p_solar_Argentina_AR336,Argentina,133.8,0.18,4.408450265,0.3011131602914397,0.2290710382513661,0.26509209927140287
-30.75,-67.75,p_solar_Argentina_AR337,Argentina,133.5,0.18,57.87156281,0.2973779599271399,0.2265759335154827,0.2619769467213113
-31.25,-67.75,p_solar_Argentina_AR338,Argentina,133.4,0.19,68.28680967,0.2947891621129331,0.2248976548269581,0.2598434084699456
-31.75,-67.75,p_solar_Argentina_AR339,Argentina,133.4,0.21,52.26686181,0.2909274817850631,0.2227519353369763,0.2568397085610197
-32.25,-67.75,p_solar_Argentina_AR340,Argentina,133.2,0.22,70.45054951,0.2881788479052826,0.2213334471766849,0.25475614754098375
-32.75,-67.75,p_solar_Argentina_AR341,Argentina,133.0,0.22,24.56169995,0.2859746129326059,0.2199083561020036,0.25294148451730475
-33.25,-67.75,p_solar_Argentina_AR342,Argentina,132.8,0.22,26.90712001,0.2839831511839695,0.2184390938069216,0.2512111224954455
-33.75,-67.75,p_solar_Argentina_AR343,Argentina,132.8,0.22,73.78661231,0.2827457877959923,0.2174007285974499,0.2500732581967211
-34.25,-67.75,p_solar_Argentina_AR344,Argentina,132.6,0.22,68.42990817,0.2811747495446258,0.2162576275045537,0.24871618852458977
-34.75,-67.75,p_solar_Argentina_AR345,Argentina,132.6,0.22,23.74251362,0.2797856329690346,0.2149622040072859,0.24737391848816026
-35.25,-67.75,p_solar_Argentina_AR346,Argentina,132.6,0.22,28.18833671,0.2804469489981779,0.2146542577413479,0.2475506033697629
-35.75,-67.75,p_solar_Argentina_AR347,Argentina,132.6,0.22,28.17394957,0.2798967440801448,0.21346470856102,0.2466807263205824
-36.25,-67.75,p_solar_Argentina_AR348,Argentina,132.4,0.22,40.71550807,0.2766370673952646,0.2106806693989071,0.24365886839708584
-36.75,-67.75,p_solar_Argentina_AR349,Argentina,132.3,0.21,62.49662028,0.2747421448087437,0.2089242941712204,0.24183321948998204
-37.25,-67.75,p_solar_Argentina_AR350,Argentina,132.1,0.21,56.12108125,0.2739878187613839,0.2079192850637523,0.2409535519125681
