horizon,variable,value,pol,month
204004,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,39
204005,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,40
204006,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,41
204007,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,42
204008,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,43
204009,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,44
204010,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,45
204011,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,46
204012,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,47
204501,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,48
204502,prm15_fix_wcost_re2_c2p1_tnt1,0.0690512088232086,False,49
204503,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,50
204504,prm15_fix_wcost_re2_c2p1_tnt1,0.3852849324556889,False,51
204505,prm15_fix_wcost_re2_c2p1_tnt1,0.3361107204309678,False,52
204506,prm15_fix_wcost_re2_c2p1_tnt1,0.1779834562885926,False,53
204507,prm15_fix_wcost_re2_c2p1_tnt1,0.0753020769430635,False,54
204508,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,55
204509,prm15_fix_wcost_re2_c2p1_tnt1,0.0092995341875057,False,56
204510,prm15_fix_wcost_re2_c2p1_tnt1,0.1908866899211616,False,57
204511,prm15_fix_wcost_re2_c2p1_tnt1,0.3039614839433919,False,58
204512,prm15_fix_wcost_re2_c2p1_tnt1,0.2367769101428145,False,59
205001,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,60
205002,prm15_fix_wcost_re2_c2p1_tnt1,0.1883990035076332,False,61
205003,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,62
205004,prm15_fix_wcost_re2_c2p1_tnt1,1.6447941143442335,False,63
205005,prm15_fix_wcost_re2_c2p1_tnt1,1.7711472889205182,False,64
205006,prm15_fix_wcost_re2_c2p1_tnt1,0.9456763012259786,False,65
205007,prm15_fix_wcost_re2_c2p1_tnt1,0.4465302478885884,False,66
205008,prm15_fix_wcost_re2_c2p1_tnt1,0.0,False,67
205009,prm15_fix_wcost_re2_c2p1_tnt1,0.2058618378264794,False,68
