load_zone,scs_id,variable_om_cost_total,fuel_cost_total,startup_cost_total,capacity_cost,transmission_capacity_cost,mwh,MtCO2,total_costs,operations_cost_total,emis_policy,exist_trd,op_char,fixed_pv,pol,group,split_tx_cost,new_total_cost
Chile,prm15_wcost_re13_c2p1_tn,3912028739.363156,11503478618.97837,0.0,10.885777811063424,0.0,878433556.575,283.7036387822853,26301285169.40495,15.415507358341523,0,0,13,1,"NoCut,Full",1,0.0,26.30128516940495
Argentina,prm15_wcost_re15_c2p1_tn,9889707926.323114,20085068109.289013,0.0,22.063479800516262,167473999.90461597,1682695804.525,492.096387688111,52205729836.03301,29.97477603561213,0,0,15,1,"NoCut,Full",1,0.0837369999523079,52.1219928360807
Argentina,prm15_wcost_re8_c2p1_co2_cut90p_t1,5948740111.151008,5465682255.31169,33514661.67081903,47.63289532070375,0.0,1682695804.525,132.6720155378215,59080832348.83726,11.447937028133516,1,1,8,0,"90%Cut,Lim",110,0.0,59.080832348837255
Paraguay,prm15_wcost_re8_c2p1_co2_cut90p_t1,2303478467.752784,61017751.02556303,4784863.141844382,3.1161413313231305,0.0,354890645.65000004,0.7854656420683787,5485422413.243322,2.3692810819201915,1,1,8,0,"90%Cut,Lim",110,0.0,5.485422413243322
Uruguay,prm15_wcost_re2_c2p1_co2_cut90p_t1,261987415.3565566,373827456.8304602,3231623.67836451,5.215439563823976,0.0,170565854.225,0.6493285032731559,5854486059.689357,0.6390464958653812,1,1,2,0,"90%Cut,Lim",110,0.0,5.854486059689357
Brazil,prm15_wcost_re13_c2p1_co2_cut90p_t1,27921687780.486687,27488647365.42657,62820237.60506938,193.7399660712168,0.0,7114586509.525,218.01862826904252,249213121454.73517,55.473155383518325,1,1,13,1,"90%Cut,Lim",111,0.0,249.2131214547351
Brazil,prm15_wcost_re17_c2p1_co2_cut90p_t1,25408803631.3506,24302913488.277195,3721324.6971806353,181.51641643110773,0.0,7114586509.525,192.60326554605217,231231854875.4327,49.715438444324974,1,1,17,1,"90%Cut,Lim",111,0.0,231.2318548754327
Paraguay,prm15_wcost_re9_c2p1_co2_cut90p_t1,2302679059.3336687,56588215.29151346,4313338.539654321,3.110016807769414,0.0,354890645.65000004,0.7273638894891168,5473597420.934251,2.3635806131648365,1,1,9,0,"90%Cut,Lim",110,0.0,5.47359742093425
Uruguay,prm15_wcost_re20_c2p1_co2_cut90p_t1,262118054.8798388,406823955.298108,2173554.920959443,5.02859797638665,0.0,170565854.225,1.0319042898362625,5699713541.485557,0.6711155650989062,1,1,20,1,"90%Cut,Lim",111,0.0,5.699713541485557
Argentina,prm15_wcost_re9_c2p1_co2_cut90p_t1,5934963068.553951,5409986109.182866,30397547.64791368,46.20825069017553,0.0,1682695804.525,131.3113293577674,57583597415.560265,11.375346725384729,1,1,9,0,"90%Cut,Lim",110,0.0,57.583597415560256
Brazil,prm15_wcost_re14_c2p1_co2_cut90p_t1,27497325188.532043,25376755307.39475,7908050.101761335,189.31896791460852,0.0,7114586509.525,205.42496471724024,242200956460.6371,52.88198854602855,1,1,14,1,"90%Cut,Lim",111,0.0,242.2009564606371
Uruguay,prm15_wcost_re1_c2p1_co2_cut90p_t1,262524426.11784703,392419150.209487,2180583.808143813,4.890637194841398,0.0,170565854.225,0.8436377708337742,5547761354.976876,0.6571241601354779,1,1,1,0,"90%Cut,Lim",110,0.0,5.547761354976876
Uruguay,prm15_wcost_re15_c2p1_co2_cut90p_t1,264374619.9072193,398149251.40191984,1447753.613881041,5.881175825650432,0.0,170565854.225,0.826268404100738,6545147450.573453,0.6639716249230201,1,1,15,1,"90%Cut,Lim",111,0.0,6.545147450573453
Uruguay,prm15_wcost_re10_c2p1_co2_cut90p_t1,261829370.0062484,377450009.81273055,1827851.833034394,4.931108822018903,0.0,170565854.225,0.6992353970485504,5572216053.670916,0.6411072316520134,1,1,10,0,"90%Cut,Lim",110,0.0,5.572216053670917
Uruguay,prm15_wcost_re12_c2p1_co2_cut90p_t1,264022484.52519315,387021648.4131192,1447753.6138810413,5.477124614539938,0.0,170565854.225,0.7113781537449452,6129616501.092131,0.6524918865521933,1,1,12,1,"90%Cut,Lim",111,0.0,6.129616501092132
Brazil,prm15_wcost_re16_c2p1_co2_cut90p_t1,24819541415.633305,23287519767.008404,0.0,176.09879909539526,0.0,7114586509.525,184.71586723403385,224205860278.037,48.10706118264171,1,1,16,1,"90%Cut,Lim",111,0.0,224.205860278037
Brazil,prm15_wcost_re10_c2p1_co2_cut90p_t1,24661034453.22438,22393261878.68894,0.0,165.71028701197244,0.0,7114586509.525,180.18324477367912,212764583343.8857,47.054296331913314,1,1,10,0,"90%Cut,Lim",110,0.0,212.76458334388573
Uruguay,prm15_wcost_re19_c2p1_co2_cut90p_t1,262943084.138384,380336867.8563138,1447753.61388104,4.775972994093068,0.0,170565854.225,0.6821578229903759,5420700699.701648,0.6447277056085788,1,1,19,1,"90%Cut,Lim",111,0.0,5.420700699701647
Uruguay,prm15_wcost_re16_c2p1_co2_cut90p_t1,264194445.54849333,413950309.9733064,1540136.2888088832,5.4109403817709225,0.0,170565854.225,1.0206041624052236,6090625273.581532,0.6796848918106088,1,1,16,1,"90%Cut,Lim",111,0.0,6.090625273581532
