sc_name,period,load_zone,Battery_new,twh,MtCO2,emis_policy,exist_trd,op_char,fixed_pv,pol,group
prm15_wcost_re8_c2p1_tn,2050,Uruguay,0.0,0.005593421651334418,1.3722402258935948,0,0,8,0,"NoCut,Full",000
prm15_wcost_re4_c2p1_tn,2050,Uruguay,0.0,0.00035836564071468116,1.3506556081112406,0,0,4,0,"NoCut,Full",000
prm15_wcost_re17_c2p1_tn,2050,Paraguay,0.0,-9.29522883842855e-12,0.0312398351999999,0,0,17,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,2050,Paraguay,0.0,4.5327280772094366e-14,0.0312398351999999,0,0,19,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,283.5189965577799,0,0,19,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,2050,Brazil,0.0,0.27463982710066154,734.8337943870825,0,0,19,1,"NoCut,Full",001
prm15_wcost_re19_c2p1_tn,2050,Argentina,0.0,-3.5459452588410166e-12,573.1974602454447,0,0,19,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_tn,2050,Uruguay,0.0,0.0025687497489266906,1.6986339667136237,0,0,18,1,"NoCut,Full",001
prm15_wcost_re1_c2p1_tn,2050,Paraguay,0.0,-1.8221037641642097e-12,0.0312398351999999,0,0,1,0,"NoCut,Full",000
prm15_wcost_re19_c2p1_tn,2050,Region-wide,0.0,0.27732132386101693,1593.251510421427,0,0,19,1,"NoCut,Full",001
prm15_wcost_re4_c2p1_tn,2050,Brazil,0.0,3.7960227637757016,600.5081965888056,0,0,4,0,"NoCut,Full",000
prm15_wcost_re17_c2p1_tn,2050,Region-wide,0.0,2.0300487874025412,1383.0870586033177,0,0,17,1,"NoCut,Full",001
prm15_wcost_re5_c2p1_tn,2050,Chile,0.0,1.3145006419205441e-11,250.5517809335795,0,0,5,0,"NoCut,Full",000
prm15_wcost_re5_c2p1_tn,2050,Brazil,0.0,4.529800750655173,571.081373173346,0,0,5,0,"NoCut,Full",000
prm15_wcost_re9_c2p1_tn,2050,Paraguay,0.0,8.701392556383082e-13,0.0312398351999999,0,0,9,0,"NoCut,Full",000
prm15_wcost_re6_c2p1_tn,2050,Uruguay,0.0,0.5661401189670953,1.6434826506996665,0,0,6,0,"NoCut,Full",000
prm15_wcost_re10_c2p1_tn,2050,Argentina,0.0,-1.883032459950359e-11,462.5736619376245,0,0,10,0,"NoCut,Full",000
prm15_wcost_re11_c2p1_tn,2050,Paraguay,0.0,1.317018543289805e-11,0.0312398351999999,0,0,11,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,280.18920857180683,0,0,14,1,"NoCut,Full",001
prm15_wcost_re10_c2p1_tn,2050,Brazil,0.0,5.159392548252152,473.4679187312756,0,0,10,0,"NoCut,Full",000
prm15_wcost_re14_c2p1_tn,2050,Brazil,0.0,0.9216878120546431,689.308951628514,0,0,14,1,"NoCut,Full",001
prm15_wcost_re14_c2p1_tn,2050,Argentina,0.0,-2.6825257127623304e-12,523.939040726301,0,0,14,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,2050,Uruguay,0.0,0.0025876870053885186,1.747659035638506,0,0,13,1,"NoCut,Full",001
prm15_wcost_re18_c2p1_tn,2050,Region-wide,0.0,0.9186709276087468,1569.9015225243293,0,0,18,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,2050,Chile,0.0,1.0502139657253552e-11,283.7036387822853,0,0,13,1,"NoCut,Full",001
prm15_wcost_re13_c2p1_tn,2050,Brazil,0.0,0.268664782822621,750.2180539426415,0,0,13,1,"NoCut,Full",001
