scenario,technology_wind,load_zone,new_build_mw_wind,cap_mw_wind,new_cap_mw_wind,emis_policy,exist_trd,op_char,fixed_pv,pol,group,technology_solar,new_build_mw_solar,cap_mw_solar,new_cap_mw_solar,pref
prm15_wcost_re7_c2p1_tn,Wind,Brazil,55980.0,281991.0,55980.0,0,0,7,0,"NoCut,Full",0,SolarPV,112919.39999999944,134739.3,112919.39999999944,0.33143989854315753
prm15_wcost_re6_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,6,0,"NoCut,Full",0,SolarPV,5640.817496071,94117.1,5640.817496071,0.0
prm15_wcost_re6_c2p1_tn,Wind,Argentina,3054.0,631578.0,3054.0,0,0,6,0,"NoCut,Full",0,SolarPV,3815.4773620028,68590.4,3815.4773620028,0.4445753059603365
prm15_wcost_re5_c2p1_tn,Wind,Uruguay,6082.857578158,102552.0,6082.857578158,0,0,5,0,"NoCut,Full",0,SolarPV,3534.64593433572,8111.2,3534.64593433572,0.6324778119660679
prm15_wcost_re5_c2p1_tn,Wind,Paraguay,3564.526309204,80313.0,3564.526309204,0,0,5,0,"NoCut,Full",0,SolarPV,5779.79999999981,11360.1,5779.79999999981,0.3814642373622029
prm15_wcost_re6_c2p1_tn,Wind,Brazil,64263.0,281991.0,64263.0,0,0,6,0,"NoCut,Full",0,SolarPV,103364.6,134739.3,103364.6,0.3833676554457619
prm15_wcost_re5_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,5,0,"NoCut,Full",0,SolarPV,5640.817496071,94117.1,5640.817496071,0.0
prm15_wcost_re7_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,7,0,"NoCut,Full",0,SolarPV,5640.817496071,94117.1,5640.817496071,0.0
prm15_wcost_re7_c2p1_tn,Wind,Uruguay,6223.5928786117,102552.0,6223.5928786117,0,0,7,0,"NoCut,Full",0,SolarPV,3404.7627053797,8111.2,3404.7627053797,0.6463817029108653
prm15_wcost_re9_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,9,0,"NoCut,Full",0,SolarPV,5640.817496071,94117.1,5640.817496071,0.0
prm15_wcost_re9_c2p1_tn,Wind,Brazil,38430.0,281991.0,38430.0,0,0,9,0,"NoCut,Full",0,SolarPV,125528.99999999994,134739.3,125528.99999999994,0.23438786525899777
prm15_wcost_re9_c2p1_tn,Wind,Argentina,0.0,631578.0,0.0,0,0,9,0,"NoCut,Full",0,SolarPV,5531.0,68590.4,5531.0,0.0
prm15_wcost_re7_c2p1_tn,Wind,Paraguay,3962.7555379,80313.0,3962.7555379,0,0,7,0,"NoCut,Full",0,SolarPV,5779.7999999999,11360.1,5779.7999999999,0.40674703084671454
prm15_wcost_re8_c2p1_tn,Wind,Uruguay,1860.0,102552.0,1860.0,0,0,8,0,"NoCut,Full",0,SolarPV,3230.26258784608,8111.2,3230.26258784608,0.3654035460648111
prm15_wcost_re8_c2p1_tn,Wind,Chile,0.0,25245.0,0.0,0,0,8,0,"NoCut,Full",0,SolarPV,5640.817496071,94117.1,5640.817496071,0.0
prm15_wcost_re8_c2p1_tn,Wind,Brazil,38745.0,281991.0,38745.0,0,0,8,0,"NoCut,Full",0,SolarPV,125528.9999999987,134739.3,125528.9999999987,0.23585594798933673
prm15_wcost_re8_c2p1_tn,Wind,Argentina,0.0,631578.0,0.0,0,0,8,0,"NoCut,Full",0,SolarPV,5367.5603890349,68590.4,5367.5603890349,0.0
prm15_wcost_re8_c2p1_tn,Wind,Paraguay,683.69588628,80313.0,683.69588628,0,0,8,0,"NoCut,Full",0,SolarPV,7852.8,11360.1,7852.8,0.08009092904019875
prm15_wcost_re5_c2p1_tn,Wind,Brazil,53433.632667151,281991.0,53433.632667151,0,0,5,0,"NoCut,Full",0,SolarPV,114709.9999999994,134739.3,114709.9999999994,0.3177856444491468
prm15_wcost_re5_c2p1_tn,Wind,Argentina,0.0,631578.0,0.0,0,0,5,0,"NoCut,Full",0,SolarPV,5172.8,68590.4,5172.8,0.0
prm15_wcost_re2_c2p1_tn,Wind,Uruguay,5424.0,102552.0,5424.0,0,0,2,0,"NoCut,Full",0,SolarPV,3759.5999999999,8111.2,3759.5999999999,0.590618058277806
