project,specified,new_build,capacity_type
p_solar_Argentina_AR360,,,gen_spec
p_solar_Argentina_AR361,,,gen_spec
p_solar_Argentina_AR362,,,gen_spec
p_solar_Argentina_AR363,,,gen_spec
p_solar_Argentina_AR364,,,gen_spec
p_solar_Argentina_AR365,,,gen_spec
p_solar_Argentina_AR366,,,gen_spec
p_solar_Argentina_AR367,,,gen_spec
p_solar_Argentina_AR368,,,gen_spec
p_solar_Argentina_AR369,,,gen_spec
p_solar_Argentina_AR379,,,gen_spec
p_solar_Argentina_AR380,,,gen_spec
p_solar_Argentina_AR381,,,gen_spec
p_solar_Argentina_AR382,,,gen_spec
p_solar_Argentina_AR383,,,gen_spec
p_solar_Argentina_AR384,,,gen_spec
p_solar_Argentina_AR385,,,gen_spec
p_solar_Argentina_AR386,,,gen_spec
p_solar_Argentina_AR387,,,gen_spec
p_solar_Argentina_AR388,,,gen_spec
p_solar_Argentina_AR393,,,gen_spec
p_solar_Argentina_AR394,,,gen_spec
p_solar_Argentina_AR395,,,gen_spec
p_solar_Argentina_AR396,,,gen_spec
p_solar_Argentina_AR397,,,gen_spec
p_solar_Argentina_AR398,,,gen_spec
p_solar_Argentina_AR399,,,gen_spec
p_solar_Argentina_AR400,,,gen_spec
p_solar_Argentina_AR401,,,gen_spec
p_solar_Argentina_AR402,,,gen_spec
p_solar_Argentina_AR403,,,gen_spec
p_solar_Argentina_AR404,,,gen_spec
p_solar_Argentina_AR405,,,gen_spec
p_solar_Argentina_AR406,,,gen_spec
p_solar_Argentina_AR407,,,gen_spec
p_solar_Argentina_AR408,,,gen_spec
p_solar_Argentina_AR409,,,gen_spec
p_solar_Argentina_AR410,,,gen_spec
p_solar_Argentina_AR411,,,gen_spec
p_solar_Argentina_AR412,,,gen_spec
p_solar_Argentina_AR413,,,gen_spec
p_solar_Argentina_AR414,,,gen_spec
p_solar_Argentina_AR415,,,gen_spec
p_solar_Argentina_AR416,,,gen_spec
p_solar_Argentina_AR417,,,gen_spec
p_solar_Argentina_AR418,,,gen_spec
p_solar_Argentina_AR419,,,gen_spec
p_solar_Argentina_AR420,,,gen_spec
